"otimism","frivolity","love","gloat","frustration","disaproval","envy","remorse","aggresiviness","rejection","rivalry","contempt","anxiety","awe","submission","coercion","class"
0.28,-0.11,2.9,0,0.04,-0.13,0.09,-3.84,0,0,0,-0.68,-0.01,-0.09,-0.01,-0.09,"RaivaTristeza"
0.25,0,0.25,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0,"Neutro"
1.78,0,1.9,0,0,-0.1,0,-0.19,0,-0.02,0,-0.01,0.06,0,0.06,-0.07,"DesgostoTristeza"
0,0.08,0,0,0,0,0,-1.63,0.21,0,0.26,0.21,0,-0.13,0,0,"Alegria"
0,0.07,1.73,0,0,0,0,0,0,0,0,0,0.12,0,0.12,0,"MedoTristeza"
1.34,0,0.89,0,0.09,0,0.01,0,0,0,0,0,0.5,0,0.5,0,"Neutro"
0.14,0.3,1.56,0,0.1,-0.18,0.12,-0.15,0,-0.06,0,-0.03,0.1,0,0.1,0,"Neutro"
0.2,0.03,1.4,0,0,0,0,0,0,0,0,0,0.18,0,0.16,0,"Neutro"
1.34,0,1.05,0,0,0,0,0,0,0.06,0,0,0.39,0,0.39,0,"Neutro"
0,0,1.53,0,0.39,0,0.37,-0.42,0.2,0,0.06,0,0.06,0,0.06,-0.24,"Alegria"
1.94,0,0.14,0,0.24,0,0.1,-1.91,0,0,0.18,-0.69,0.32,0,0.25,0,"MedoSurpresa"
0,0,0.16,0,0.11,0,0.03,0,0,-0.01,0.17,-0.05,0.07,0,0.07,0,"MedoNeutro"
0.72,0.34,5.58,0,0.01,-0.08,0,-0.18,0,0.02,0,-0.08,0.08,0,0.11,0,"NeutroTristeza"
0.61,-0.1,0.65,0,0,0,0,0,0,0,0,0,0.14,-0.24,0.14,0,"RaivaTristeza"
0.3,0,0.34,0,0.19,0,0.12,-0.2,0,0,0,0,0.06,0,0.06,0,"Desgosto"
0.17,0,0.1,0,0,0,0,0,0,0,0,-0.06,0.02,0,0.02,0,"Neutro"
0,0,1.7,0,0,0,0,-3.43,0,0,0,-0.82,-0.05,0,-0.05,-0.74,"NeutroTristeza"
0.49,-0.24,1.86,0,0,0,0,-1.85,0,0,0,0,0.33,0,0.24,0,"DesgostoNeutro"
0.24,0,0.22,0,0,0,0,0,0,-0.07,0,0,0,0,0,0,"DesgostoNeutro"
1.77,0,0,0,0.3,0,0.08,-1.97,0,0,0,-0.08,0.27,0,0.27,-0.75,"Neutro"
0.31,0,0.3,0,0,0,0,0,0,0,0,0,0.08,0,0.08,0,"Surpresa"
1.8,0,0,0,0,0,0,-1.86,0,0,0,-0.42,0.11,0,0.11,-0.12,"Tristeza"
0.49,0.23,7.12,0,0.34,0,0.11,-0.3,0,0,0,0,0.25,0,0.25,-0.22,"MedoSurpresa"
0.37,0.22,2.12,0,0,0,0,0,0,-0.03,0,-0.11,0.04,0,0.04,0,"DesgostoTristeza"
1.77,0,1.69,0,0,0,0,-1.55,0,0,0,0.04,0.02,0,-0.09,0,"DesgostoSurpresa"
0,-0.04,0,0.01,0,0,0,0,0,0,0,-0.01,0,0,0,0,"DesgostoSurpresa"
2.19,0,2.42,0,0.03,0,-0.06,-1.56,0.1,0,0.34,-0.24,-0.1,0,-0.1,-0.16,"Surpresa"
0.21,0,0.32,0,0,0,0,-1.49,0,0,0,0,0.02,0,0.02,-0.74,"Medo"
0,0,0,0,-0.04,0,0,-2.14,0,0,0,-0.72,0.04,0,0.15,-0.11,"Medo"
3.28,0.21,4.29,0,0,0,0,-1.52,0.41,0,0.42,-0.02,0.38,0,0.38,-0.07,"Neutro"
1.96,0,2.07,0,0,0,0,-1.64,0.18,0,0.17,-0.42,0.1,0,0.1,0,"Neutro"
0,0.06,0,-0.06,0,0,0,0,0,-0.01,0,-0.13,0.01,0,0.01,0,"DesgostoNeutro"
0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,"Surpresa"
3.5,0,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,"Surpresa"
0,0,0,0,0,0,0,-3.25,0,0,0,-0.01,0,0,0,0,"Alegria"
0.14,0,0,0,0,0,0,0,0,0,0,-0.19,0.04,0,0,0,"DesgostoTristeza"
0,0,0,0,0.19,0,-0.01,-1.58,0,0,0,0,0.2,0,0.2,-0.71,"Medo"
0.28,0,0.18,0,0.17,0,0.12,0,0,0,0,0,0.36,0,0.36,0,"MedoTristeza"
0,0,0,0,0,-0.1,0,-0.08,0,0,0,0.02,-0.01,0,-0.01,0,"Neutro"
0.13,0,0.27,0,0,0,0,-1.82,0,0,0.17,-0.04,0.02,0,0.02,0,"Neutro"
0.72,0,0.8,0,0,0,0,0,0,0,0,0,0.27,0,0.27,0,"Neutro"
0.2,0,0,0,0.01,0,0.15,0,0,0,0,0,0,0,-0.02,0,"Neutro"
1.98,0,2.1,0,0.3,0,0.08,0,0,0,0,0,0.26,0,0.27,-0.01,"Tristeza"
1.68,-0.22,4.92,0,0.2,-0.12,-0.01,-0.22,0.09,-0.01,0.13,-0.11,0.17,0,0.2,0,"Tristeza"
2.05,0,0.46,0,0,0,0,0,0,0,0,0.03,0.03,0,0.03,0,"DesgostoTristeza"
2.09,-0.05,2.12,0,0,0,0,0,0.1,0,0.13,0,0,0,0,-0.06,"AlegriaSurpresa"
1.98,0,2.08,0,0.09,0,0.04,-1.61,0,0,0,-0.13,0.06,0,0.04,0,"AlegriaNeutro"
1.78,0.15,3.31,-0.01,0,0,0,0,0,0,0,0,0,-0.3,0,-0.35,"Desgosto"
0,0.09,1.62,0,-0.47,0,-0.02,-1.05,0,0.01,0,0.01,-0.11,0,-0.04,-0.07,"Desgosto"
0,0,0,0,0.15,-0.05,0.02,-0.15,0,0,0,0,0.11,0,0.11,0,"Neutro"
1.89,0.37,3.51,0,0,0,0,-1.7,0,0,0,0,0.1,0,0.1,0,"MedoTristeza"
1.95,-0.61,2.25,0,0,0,0,-1.49,0,0,0,-0.24,0,0,0,0,"DesgostoNeutro"
0.12,0,0.17,0,0,0,0,0,0,0,0,0.18,0.02,0,0.02,0,"DesgostoTristeza"
0,0,0,0,-0.07,0,0,-0.64,0,0,0,0,0.37,0,0.17,0.2,"AlegriaTristeza"
0,0,0,0,0.27,0,0.29,0,0,0,0,0,0.14,0,0.14,0,"AlegriaNeutro"
0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,"Alegria"
0.13,0.21,1.49,0,0,0,0,-1.53,0,0,0,-0.01,0,0,0,0,"Tristeza"
0,0,0,0,0,-0.24,0,-0.44,0,0,0,0,0,0,0,0,"Neutro"
0,0,0,0,0,0,0,-1.49,0,0,0,-0.11,0,0,0,0,"NeutroSurpresa"
1.56,0.16,3.34,0.07,0,0,0,-3.38,0,0,0,-0.17,0,0,0,-0.75,"AlegriaNeutro"
3.5,-0.05,5.29,0.01,0.15,0,0,0,0,-0.01,0,-0.11,0.14,-0.3,0,-0.3,"DesgostoTristeza"
0.19,0.29,1.68,0,0,0,0,0,0.24,-0.07,0.32,0.03,0,0,0,0,"Neutro"
0.18,0,0.18,0,0.19,0,-0.01,-1.64,0,0,0,-0.42,0.25,0,0.25,0,"DesgostoMedo"
0.14,0,0.19,0,0,0,0,-1.44,0,0,0,-0.21,0,0,0,0,"DesgostoMedo"
0.2,0,0,0,0,-1.77,0,-2.22,0,0,0,0,0.03,-1.78,0,-2,"Neutro"
1.72,0,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tristeza"
1.58,0,1.5,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,"DesgostoMedo"
0.22,-0.02,1.92,0,0.01,0,0,0,0,0,0,0,0.05,0,0.08,0,"Tristeza"
0.61,-0.25,2.2,-0.02,0.01,0,0.02,0,0,0,0.18,0.15,0.11,0,0.06,-0.08,"Surpresa"
0.19,0,0.15,0,0,0,0,-1.63,0,0,0,0.21,0.27,0,0.27,0,"Alegria"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MedoTristeza"
3.36,0.05,1.4,0,0.32,0,0.29,0,0,0,0,0.06,0.57,-0.22,0.35,0,"Neutro"
0,0.07,0,0,0,0,0,-3.24,0,0.03,0,-0.12,0.08,0,0.08,-0.74,"DesgostoTristeza"
0.2,-0.3,1.61,0,0,0,0,0,0,0,0,0,0.14,0,0.14,0,"DesgostoTristeza"
2.3,0,2.48,0,-0.54,0,0,-2.59,0,0,0,-0.12,-0.19,0,0.02,-0.21,"DesgostoSurpresa"
0.18,0,0.2,0,0,-0.18,0,-1.5,0,0,0,0.37,0.04,0,0.04,-0.1,"Medo"
0.23,-0.61,0.61,0,0,0,0,0,0,0,0,0,0.08,0,0.08,-0.71,"DesgostoMedo"
1.78,0.03,1.9,0,-0.43,0,0.05,-2.37,0,0,0,0.04,-0.17,0,0,-0.17,"Alegria"
1.78,0.07,2.05,0,0.24,0,0.11,-1.39,0,0,0,0.12,0.23,0,0.23,0,"DesgostoTristeza"
0,0.22,1.75,0,0.01,0,0,-1.4,0,-0.02,0,0.13,-0.11,0,0,-0.11,"MedoSurpresa"
0,0,0,0,0,-0.1,0,-3.08,0,0,0,-0.28,0,0,0,0,"AlegriaDesgosto"
0.64,-0.02,2.29,0,0,0,0,0,0.1,0,0.16,0,0.1,0,0.1,0,"Desgosto"
0.26,-0.18,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,"AlegriaSurpresa"
0,0,0,0,0,0,0,0,0,0,0,0,-0.07,0,-0.07,-0.71,"Neutro"
0,0,0,0,-0.14,0,-0.12,0,0,0,0,0,-0.21,0,-0.21,0,"Alegria"
0.18,0.02,0.15,0,0,0,0,-2.24,0,0,0,0.06,0,-0.06,-0.06,-0.34,"Neutro"
0.46,-0.1,1.96,0,0,0,0,-1.49,0,0,0,0,-0.05,0,-0.05,-0.74,"DesgostoMedo"
0,0,0.28,0,0.12,0,0,-2.37,0.82,0,0,-0.07,0,0,0,0,"DesgostoTristeza"
1.69,-0.04,2.87,0,0,0,0,-1.91,0,0,0,-0.35,0,0,0,0,"MedoTristeza"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DesgostoRaiva"
0,0.21,1.37,0,0,0,0,-3.32,0.12,0,0.1,-0.14,0,0,0,0,"Tristeza"
1.95,0.15,3.91,0,-0.46,0,0.16,-0.82,0,0,0,0,-0.09,0,0.08,-0.17,"Neutro"
0.31,-0.04,1.48,0,0.06,0,0.13,0,0,0,0,0,-0.01,0,-0.01,0,"Neutro"
0,0,0,0,0.09,-0.24,0.01,-3.27,0.12,0,0.1,0.31,0.1,0,0.1,0,"MedoTristeza"
0,0.22,1.96,0,0,0,0,-3.07,0,0,0,-0.3,0.04,0,-0.01,-1.6,"DesgostoTristeza"
1.86,0,1.79,0,0,0,0,-1.95,0,0,0,-0.26,0.19,0,0.19,0,"MedoSurpresa"
5.57,0,3.9,0,0.01,-0.04,0.15,-0.11,0,0,0,0,-0.05,-0.06,-0.05,-0.06,"DesgostoTristeza"
1.65,0,1.26,0,0,-0.05,0,-1.61,0,0,0,-0.24,0.69,-0.06,0.69,-0.06,"Desgosto"
0.61,-0.3,2.04,0,0,0,0,-2.22,0,0,0.17,-0.32,0.11,0,0.11,-0.14,"Neutro"
1.66,0.04,0,0,0,0,0,-1.76,0,0,0,-0.36,0,0,0,0,"DesgostoTristeza"
1.79,0,0,0,0,0,0,-3.85,0,0,0,-0.63,0,0,0,-0.25,"NeutroSurpresa"
0,0,0,0,0.03,-0.28,0.12,-0.54,0,0,0,0,-0.04,-0.19,-0.04,-0.19,"DesgostoMedo"
0,0,0,0,0,0,0,-1.35,0,0,0,-0.04,0,0,0,0,"DesgostoTristeza"
0.4,0.29,1.98,0,0.13,0,0.16,-1.89,0,0,0,-0.06,-0.03,0,-0.03,0,"Neutro"
0,-0.01,3.55,0,0,0,0,-1.53,0,0,0,-0.13,0,0,0,0,"MedoTristeza"
0,-0.09,0,0,0.01,0,0,0,0,-0.1,0,0,-0.03,0,0,0,"DesgostoTristeza"
0.12,0.11,1.31,0,0.23,0,0.29,0,0,0,0,0,0,0,0,0,"Tristeza"
1.89,0,0.35,0,0,0,0,0,0,0,0,0,0.17,0,0.12,0,"AlegriaSurpresa"
0,0,3.5,0,0,0,0,-0.3,0,0,0,0,0,0,0,-0.22,"Neutro"
0.26,0,1.84,0,0,0,0,-1.89,0,-0.07,0,-0.06,0.19,0,0.19,0,"MedoNeutro"
0,-0.07,0,0,0,0,0,0,0,0,0,0,0.09,0,0.09,0,"Neutro"
0,0,0,0,0,0,0,-1.91,0,0,0,-0.35,0,0,0,0,"Tristeza"
0,0,0.1,0,-0.07,0,0,0,0,0,0,0,-0.04,0,-0.21,0,"Neutro"
1.58,0,1.5,0,0.13,0,0.08,-1.55,0,0,0,0.04,0.1,0,0.13,0,"MedoTristeza"
0,0.09,1.76,0,0,0,0,-1.93,0,0,0,-0.26,0,0,0,0,"MedoSurpresa"
0,0.32,1.55,0,0.13,0,0.16,-1.06,0,0.08,0.22,0.35,0.09,0,0.09,0,"DesgostoSurpresa"
0.28,0,0.18,0,0,0,0,0,0,0,0,0,0.14,0,0.14,0,"AlegriaNeutro"
0.26,0,0.2,0,0,-0.07,0,-2.03,0.1,0,0.16,-0.3,0,0,0,0,"Neutro"
0,0,0,0,0.13,0,0.12,0,0,0,0,0.18,0.09,0,0.09,0,"MedoTristeza"
0,0,0,0,0.12,0,0,-4.06,0.83,0,0,-0.54,0,0,0,0,"MedoTristeza"
1.78,-0.16,3.15,0,0,0,0,-1.29,0,0,0,-0.04,0,0,0,0,"DesgostoTristeza"
3.47,0,3.78,0,0,0,0,-1.43,0,-0.06,0.1,0.16,0,0,-0.11,0,"AlegriaMedo"
0.18,0,0.22,0,0.05,0,0.13,-1.86,0,0,0,-0.71,-0.03,0,-0.03,-0.04,"Alegria"
0.14,0,2.3,0,0.18,0,0.06,0,0.14,0,0.17,0,0.13,0,0.08,0,"Alegria"
0.26,0.09,1.82,0,0,0,0,-1.64,0,0,0,-0.42,0.2,0,0.2,0,"MedoTristeza"
0,0.07,1.73,0,0.09,0,0.01,-1.35,0,0,0,-0.06,0.1,0,0.1,0,"MedoTristeza"
1.58,0,1.66,0,0.1,0,0.17,-1.56,0,0,0.15,0.23,0.05,0,0.05,0,"Medo"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Medo"
0.26,0,0.2,0,0,-0.28,0,-1.83,0,0,0,0.29,0.2,-0.19,0.2,-0.19,"MedoTristeza"
0.25,0,0.22,0,0,0,0,-1.29,0,0,0,0.37,0.07,0,0.07,0,"SurpresaTristeza"
0,0,0,0,0,0,0,0,0.2,0,0.17,0,0.11,0,0.11,0,"DesgostoTristeza"
0.47,0.11,2.17,0.01,0.1,0,0.12,0,0,0,0,0,0.25,0,0.25,0,"AlegriaSurpresa"
0.1,0,0,0,0,-2.03,0,-3.79,0,-0.06,0,-0.09,0,-1.88,0,-1.88,"Tristeza"
0,0,0,0,0,0,0,-3.05,0,0,0,0.13,0,0,0,0,"Desgosto"
1.78,0,1.9,0,-0.04,-0.08,0,-1.92,0,0.04,0,0.05,-0.06,0,0,-0.06,"SurpresaTristeza"
0,0,0,0,0,0,0,-3.9,0,0,0,-0.65,-0.09,0,0,0,"MedoTristeza"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,"DesgostoMedo"
0,0,0,0,0,0,0,-3.05,0,0,0,0.01,0.06,0,0.06,0,"Neutro"
0.28,0.22,1.95,0,0,0,0,0,0.23,0,0.25,0,0,0,0,0,"DesgostoSurpresa"
0,0,0,0,0.39,-0.28,0.12,-2.39,0,0,0,0,0.31,-0.19,0.31,-0.19,"Surpresa"
0,0,1.66,0,0.16,0,0.02,-3.58,0.2,0,0.13,-0.78,0.19,0,0.19,0,"Neutro"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Surpresa"
2.12,0,2.52,0,0,0,0,-3.36,0,0,0,-0.18,-0.03,0,-0.03,0,"Tristeza"
0.46,0.21,2.01,0,0,0,0,-1.91,0,0,0,-0.35,-0.06,0,0.06,0,"MedoTristeza"
1.58,0.23,6.56,0,0.01,0,0,0,0,0,0,0,-0.04,0,-0.01,0,"Medo"
0.12,0,0.17,0,-0.06,0,-0.16,0,0,0,0,0,-0.01,0,-0.01,0,"Desgosto"
0.21,-0.25,1.69,0,0,0,0,-0.34,0,0,0,-0.19,0.06,0,0.06,0,"Desgosto"
0.31,0,0.53,0,0.1,0,0.12,0,0,0,0,0,0.05,0,0.05,0,"Alegria"
3.05,0,3.44,0,0.22,0,0.02,-0.3,0,0,0,0,0.42,0,0.45,-0.22,"MedoTristeza"
0.19,0,0.15,0,0.15,0,0.02,0,0,0,0,0,0.12,0,0.12,0,"RaivaTristeza"
1.24,-0.03,1.06,0,0,0,0,-1.91,0,0,0,-0.35,0.33,0,0.33,0,"Neutro"
0,0,0,0,0.17,0,0.27,0,0,0,0,0,0.09,0,0.09,0,"Neutro"
0.52,-0.35,5.23,0,0.22,0,-0.07,0,0,0,0,0,0.17,0,0.17,0,"AlegriaSurpresa"
0,0,0,0,0.13,0,0.1,0,0,0,0,0.02,0.09,0,0.09,0,"Neutro"
0,-0.22,2.93,0,0,0,0,0,0,0,0,-0.06,0,0,0,0,"NeutroTristeza"
0,0,0,0,0,-0.05,0,-1.55,0,0.02,0,-0.28,0,0,0,0,"Neutro"
0.18,-0.16,1.63,0,0,0,0,-0.34,0,0,0,-0.19,0.05,-0.13,0.05,-0.05,"MedoSurpresa"
0.22,0,0.44,0,0,-0.05,0,-0.23,0,0,0.14,0,0.06,-0.06,0.06,-0.06,"DesgostoTristeza"
0.44,0.03,2.33,0,0,-0.08,0,0,0,0,0,-0.01,0.04,-0.14,0.04,0,"DesgostoRaiva"
1.15,0.09,3.08,0,0,0,0,0,0,-0.03,0,-0.15,0.15,0,0.15,0,"AlegriaSurpresa"
0,0,0,0,0,0,0.12,0,0,0,0,0,0.04,0,0.04,0,"Neutro"
0,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,"Neutro"
1.97,-0.01,4.71,0,0,0,0,0,0,0,0,0,-0.01,0,-0.01,0,"RaivaTristeza"
0,0.12,1.26,0,0,0,0,-3,0,0,0,-0.39,0,0,0,0,"DesgostoSurpresa"
0,0,0,0,0.14,0,0.09,-3.81,0,0,0,-0.35,0.08,0,0.11,-0.73,"Surpresa"
1.78,0.03,3.21,0,0,0,0,-1.59,0,0,0,0,0,0,0,0,"Tristeza"
0.41,0,0.5,0,0,0,0,0,0,0,0,0,-0.13,0,-0.13,0,"Neutro"
0,-0.09,0,0,0,0,0,0,0,-0.1,0,0,0.05,0,0.05,0,"MedoTristeza"
0.12,0,0.37,0,0.01,0,0.02,0,0,0,0,0,-0.12,0,-0.12,0,"DesgostoNeutro"
2.2,0.15,3.87,0,0,0,0,-3.4,0,0,0,-0.69,0.05,0,0.05,-0.74,"AlegriaSurpresa"
0,-0.07,1.44,0,-0.07,0,0,-2.3,0,0,0,-0.42,0.23,0,0,0.23,"DesgostoSurpresa"
0.27,0.21,1.65,0,0,0,0,-1.49,0,0,0,0,0.05,0,0.05,-0.74,"NeutroSurpresa"
0.1,0,0.14,0,0.09,0,0.04,0,0.09,0,0.13,0,0.04,0,0.04,0,"DesgostoSurpresaTristeza"
0,0,0,0,0,0,0,-1.75,0,0,0,-0.12,0.23,0,0.23,0,"NeutroTristeza"
0,-0.15,3.02,0,0,0,0,0,0,0,0,0,0,0,0,-0.79,"DesgostoSurpresaTristeza"
1.64,0,1.47,0,0.3,0,0.08,0,0,0,0,0,0.44,0,0.44,-0.13,"AlegriaNeutro"
0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NeutroSurpresa"
0.25,0.05,0.41,0,0,-0.48,0,-1.32,0,0.08,0,-0.36,0.18,-0.08,0.1,-0.1,"DesgostoTristeza"
0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,"DesgostoNeutro"
0.69,0,0.75,0,0.11,0,0.03,-1.31,0.11,0,0.18,-0.21,0.32,0,0.32,0,"DesgostoTristeza"
0,-0.07,1.44,0,0.44,0,0.31,-1.49,0.28,0,0.2,0,0.19,0,0.19,-1.6,"Neutro"
0.65,0,0.47,0,0,0,0,-3.12,0,0,0,-0.11,0.1,0,0.1,0,"NeutroSurpresa"
0.74,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alegria"
0,0,0,0,0,0,0,-1.4,0,0,0,-0.2,0,0,0,0,"MedoTristeza"
0,-0.61,0.55,0,0,0,0,0,0,0,0.12,-0.19,0.06,0,0.06,0,"DesgostoRaivaTristeza"
0.35,0,0.36,0,0.06,0,0.1,-3.64,0,0,0,-0.42,0.06,0,0.06,-0.8,"NeutroSurpresa"
2.43,0.22,4.03,0,-0.54,0,0,-0.84,0,0,0,0,-0.07,0,0.05,-0.21,"SurpresaTristeza"
0.14,0,0.14,0,0.11,0,0.19,-1.14,0,0,0,0.36,0.04,0,0.04,0,"DesgostoNeutroSurpresa"
1.72,0,1.77,0,0.39,0,0.36,-0.16,0,0,0,0,0.24,0,0.24,-0.07,"AlegriaSurpresa"
0.37,0,0.49,0,0,0,0,-1.89,0.21,0,0.23,-0.06,0.19,0,0.19,0,"Neutro"
1.78,0.07,3.91,0,0,0,0,-1.65,0,0,0,0,0,0,0,0,"MedoTristeza"
0,0,0,0,0,0,0,-1.84,0,0,0,-0.05,0.15,0,0.15,0,"DesgostoTristeza"
0,0,0,0,0,0,0,-1.45,0,0,0,-0.2,0,0,0,0,"DesgostoTristeza"
0.37,0.03,1.77,0,0.01,0,0,0,0,0,0,0,0.01,0,0.04,0,"MedoSurpresa"
0.31,0.1,0.3,0.07,0.45,-0.1,0.14,-0.79,0.93,-0.02,0.16,-0.04,0.31,0,0.31,0,"Neutro"
3.71,0,3.55,0,0,0,0,0,0,0,0,0,0.27,0,0.27,0,"DesgostoSurpresa"
0.14,-0.14,1.61,0,0.19,0,-0.01,-1.66,0,0,0,-0.15,0.23,0,0.23,0,"DesgostoTristeza"
0.26,0,0.2,0,0,0,0,-1.64,0,0,0,-0.61,0.14,0,0.14,0,"AlegriaSurpresa"
1.35,0,0.9,0,0,0,0,0,0.08,0,0,0,0.38,0,0.38,0,"Neutro"
0,0,0.09,0,0,0,0,0,0,0,0.07,0,0,0,0,0,"DesgostoNeutroRaiva"
0,0,0,0,0,0,0,-4.69,0,0,0,0.05,-0.01,0,0,-0.01,"Surpresa"
0,0,0,0,-0.06,0,-0.16,0,0,0,0,0,-0.03,0,-0.03,0,"DesgostoRaivaSurpresa"
0.14,-0.01,1.64,0,0.15,0,0.1,-2.48,0.92,0,0.17,0.11,0.11,0,0.11,0,"DesgostoNeutro"
1.98,0.01,2.14,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,"DesgostoMedoTristeza"
0.77,0,0.58,0,0.15,0,0.05,0,0,0,0,0,0.38,0,0.38,0,"AlegriaNeutroSurpresa"
0,0,0,0,0.19,0,0.13,-1.5,0,0,0,0.31,0.04,0,0.04,0,"MedoTristeza"
0.85,0,0.81,0,0.07,0,0,-0.08,0,0,0,-0.03,0.15,0,0.1,0,"DesgostoTristeza"
0.56,0,0.46,0,0,0,0,0,0,0,0,-0.19,0.18,0,0.18,-0.75,"AlegriaSurpresa"
1.5,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,"MedoSurpresa"
0.18,-0.01,0.41,0,0,0,0,-1.89,0.25,0.03,0.42,0.1,0.04,0,0.04,-0.17,"DesgostoSurpresa"
0.18,0,0.32,0,0.06,0,0.15,-2.41,0.77,0,0,-0.02,0.05,0,0.05,-0.88,"Alegria"
0,0,0,0,0,0,0,-0.1,0,0,0,0,0.16,0,0.16,0,"DesgostoRaivaTristeza"
0,0,0,0,-0.08,0,0,-2.24,0,0,0,0,0.22,0,0,-0.52,"DesgostoMedo"
0.57,-0.18,3.68,0,0.06,0,0.1,0,0,-0.1,0,0,0.27,0,0.27,0,"MedoTristeza"
1.91,0,1.86,0,0,0,0,0,0,0,0.15,0,0,0,0,0,"DesgostoNeutro"
2.16,0,2.19,0,0,-1.6,0,-4.86,0,0,0,-0.2,0.11,-1.48,0.11,-1.48,"MedoTristeza"
0.36,0,2.12,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0,"MedoSurpresa"
1.22,0,2.48,0,0,0,0,-1.88,0,0,0,-0.21,0.22,0,0.22,-0.23,"NeutroSurpresa"
0.33,0.07,2.04,0,0.01,0,0,0,0,0,0,0,0.03,0,0.06,0,"MedoTristeza"
2.09,0,2.2,0,0.19,0,0.12,-0.11,0,0,0,0.03,0.12,0,0.12,0,"MedoSurpresa"
0.17,0,0.25,0,0.12,0,0.04,-3.77,0,0,0,-0.66,0.16,0,0.16,0,"DesgostoMedoTristeza"
0,0,0.28,0,0.11,0,0.06,0,0,0,0,0,0.08,0,0.08,0,"AlegriaNeutro"
0.26,0,0.23,0,0.09,0,0.04,-1.85,0,0,0,-0.2,0.04,0,0.04,-0.14,"Neutro"
1.78,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,-0.11,"DesgostoMedoTristeza"
0.14,0,0.1,0,0.08,0,0.2,0,0,0,0,0,0.17,0,0.13,0,"DesgostoRaiva"
0.14,0.03,3.52,0,0,0,0,-3.58,0,0,0,-0.21,0.13,0,0.02,-0.82,"Neutro"
0,0,0,0,0.26,0,0.25,0,0,0,0,0,0.14,0,0.14,0,"AlegriaMedo"
0.24,0,0.21,0,0.19,0,-0.01,-1.38,0,0,0,0.23,0.2,0,0.2,0,"NeutroSurpresa"
0.09,0,0,0,0,-0.18,0,-0.26,0,-0.14,0,-0.22,0.08,0,-0.03,0,"DesgostoTristeza"
1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MedoNeutroTristeza"
1.08,-0.54,3.07,0,-0.31,0,0,-0.23,0,0.01,0,0.01,0.07,0,0.15,-0.11,"DesgostoRaiva"
0.25,0,0.33,0,0,0,0,-1.89,0.28,0,0.36,-0.06,0,0,0,0,"DesgostoSurpresaTristeza"
0.18,0,0.22,0,0.26,0,0.18,-1.95,0,0,0,0,0.07,0,0.07,-0.07,"Neutro"
0.4,0,0.35,0,0,0,0,-1.93,0,0,0,-0.26,0.03,0,0.01,-0.71,"MedoSurpresa"
0.15,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0.08,-0.71,"Neutro"
0.77,0,0.58,0,-0.05,0,0,-3.62,0,0,0,0.56,0.4,0,0.17,0.23,"DesgostoTristeza"
0,0,0,0,0,0,0,-4.94,0,0,0,-0.12,0,0,0,-0.8,"DesgostoRaivaTristeza"
0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,"AlegriaDesgostoNeutro"
2.18,-0.34,3.64,0,0,0,0,0,0.46,0,0.39,0,0.06,0,0.06,0,"DesgostoTristeza"
0,0,0,0,0,0,0,-1.49,0,0,0,0,0,0,0,-0.74,"DesgostoMedoNeutro"
0,0,0,0,0,0,0,-1.8,0.14,0,0.26,-0.39,-0.1,0,0,0,"AlegriaMedoSurpresa"
0.38,0.13,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,"AlegriaSurpresa"
1.24,0,1.25,0,0.02,0,0,-1.71,0,0,0,-0.01,0.34,0,0.32,0.02,"DesgostoSurpresaTristeza"
0,-0.14,3.14,0,-0.05,0,-0.16,0,0,0,0,0,-0.06,0,-0.03,-0.71,"DesgostoNeutro"
1.78,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,"NeutroTristeza"
1.78,0.28,5,0,0.19,0,-0.01,0,0,0,0.13,-0.01,0.2,0,0.2,0,"MedoNeutro"
0.61,0,0.58,0,0,0,0,-1.39,0,-0.03,0,-0.03,0.11,0,0.11,0,"DesgostoTristeza"
